,Dates,URL,News,Price Direction Up,Price Direction Constant,Price Direction Down,Asset Comparision,Past Information,Future Information,Price Sentiment,Topic,Macro_Group,Probabilities,Dominant_Macro_Group,Topic_Label
28,26-10-2017,http://www.marketwatch.com/story/kaz-minerals-lifts-copper-gold-guidance-2017-10-26,"KAZ Minerals lifts copper, gold guidance",1,0,0,1,1,0,positive,-1,-1,"[-3.3052438950528322, -4.775881480559092, -2.599002575945361, -3.6002953609165456, -4.243610611297688, -1.9239755845778141, -4.492415359042041, -4.341679196085479, -5.260188404710713, -3.858925196580914, -3.9839365976352688, -2.3284680721544246, -5.879583061166923, -4.213049006856432, -6.0433446522786065, -2.406635418666254, -4.813185426618652, -4.574052726432693]",5,noise
29,28-02-2017,http://www.marketwatch.com/story/gold-little-changed-after-data-2017-02-28,Gold little-changed after data,0,1,0,0,1,0,neutral,18,17,"[-3.7501139359437996, -4.667633849384303, -2.6502214469857788, -2.8140223645258837, -3.948989292124727, -0.8743602719494996, -4.352976262462118, -3.908109450227059, -4.793983088545129, -3.5993567493183862, -3.903517360506823, -2.466450568079532, -5.412467956010251, -4.580944949527492, -5.706384650072613, -3.253861860574985, -4.440976166933187, -4.6613184780589]",5,Gold Holds as Data Releases
30,27-11-2017,https://www.metalsdaily.com/link/274264/germany-why-gold-market-in-germany-is-thriving.htm,germany : why gold market in germany is thriving,1,0,0,0,1,0,positive,-1,-1,"[-4.25714213025324, -5.376826168144568, -2.928663847236158, -3.576411077362031, -3.802533303339942, -2.616133642294607, -4.026177546392244, -2.1663919919183363, -5.4023621230473, -2.961445876144268, -4.426315702510196, -2.5050637988097995, -5.864714631215297, -4.91652063300405, -6.264302650281484, -3.525576771538612, -4.203706367852993, -5.0697577131718825]",7,noise
31,19-06-2009,http://www.marketwatch.com/story/august-gold-ends-up-160-or-02-at-93620,"august gold ends up $1.60, or 0.2%, at $936.20",1,0,0,0,1,0,positive,29,6,"[-27.631021115928547, -27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",3,Economic Data & Gold Performance
32,14-04-2010,http://www.marketwatch.com/story/gold-futures-at-highest-since-early-december-2010-04-14,gold futures at highest since early december,1,0,0,0,1,0,positive,8,3,"[-3.773351530991652, -4.301637744556336, -1.99372867733624, -3.5290794271572885, -4.303421143628812, -2.374885750046653, -4.494218361073876, -4.341658128273564, -4.557297492156474, -3.723277167020845, -3.155716816859707, -2.561725481014302, -5.446440045416742, -1.3425830203481415, -5.545306308491583, -3.3457675555003368, -4.67650974132441, -4.736913223338347]",13,Global Investment & Rate Impact
33,22-12-2004,http://www.marketwatch.com/story/gold-futures-close-narrowly-lower-2004-12-22,gold futures close narrowly lower,0,0,1,0,1,0,negative,26,4,"[-27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547]",15,Gold Settlement Price Correction
34,23-11-2018,https://www.moneycontrol.com/news/business/commodities/gold-edges-up-ahead-of-g20-meeting-set-to-post-second-weekly-gain-3212401.html,Gold edges up ahead of G20 meeting; set to post second weekly gain,1,0,0,0,1,0,positive,4,3,"[-4.50060530362314, -4.651922362584955, -0.259571860608416, -3.9776024796772758, -4.840720842521623, -3.0932023108958493, -5.1516155898972915, -5.047525841420432, -4.934478800610727, -4.330667309072318, -3.866464812703659, -3.247634868425027, -6.116283470716076, -4.243325127980233, -6.360282837892681, -4.116421495469656, -5.321218254674644, -5.488734631657586]",2,Global Investment & Rate Impact
35,03-12-2004,http://www.marketwatch.com/story/feb-gold-falls-10c-to-45220oz-in-morning-ny-trade-2004-12-03,feb gold falls 10c to $452.20/oz in morning ny trade,0,0,1,0,1,0,negative,-1,-1,"[-2.915171605645421, -3.8187923010888336, -1.7970005229108985, -3.0902396294796466, -3.7708300191966897, -1.968867926768676, -3.9074245787712565, -3.8962899501851584, -3.7718974915077252, -3.207647867679303, -3.9262230319874845, -2.114736918733789, -4.15429153142415, -4.0444729297138275, -4.982290257048757, -3.2180360613311807, -3.715359345067777, -3.6787743246043174]",2,noise
36,30-05-2000,http://www.marketwatch.com/story/gold-little-changed-copper-sinks,gold little changed; copper sinks,0,1,0,1,1,0,neutral,29,6,"[-3.872415293355516, -4.4588434981978935, -2.365118853212051, -1.0873214251716805, -3.8075562129786684, -2.558104467674584, -4.198313898577276, -4.168049591497414, -4.067969229897741, -3.0341389443276365, -4.001781812818985, -2.464394797172106, -5.4638848852916615, -4.204468613721687, -5.944351293042793, -3.6936167586493407, -4.194758808573584, -4.779175095513093]",3,Economic Data & Gold Performance
37,07-01-2013,https://www.moneycontrol.com/news/business/markets/-1701983.html,gold swings between gains and drops on stronger dollar,1,0,1,1,1,0,positive,15,12,"[-27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",11,Global Cues and Gold Stability
38,20-06-2018,https://www.metalsdaily.com/link/280600/charts-gold-gld-etf-update-breakdown-.htm,charts : gold gld etf update - breakdown ?,0,0,0,0,0,1,none,1,3,"[-27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",4,Global Investment & Rate Impact
39,19-12-2011,http://www.marketwatch.com/story/feb-gold-down-120-to-close-at-159670oz-2011-12-19,"feb. gold down $1.20 to close at $1,596.70/oz",0,0,1,0,1,0,negative,-1,-1,"[-4.100630461659204, -4.329607091447499, -2.6189870080839706, -3.986113903923385, -4.819176968463789, -2.809599310584983, -4.959223237829875, -4.874938954042088, -4.690884680206751, -4.201742413398666, -4.355273069489828, -3.0786342788923506, -5.68745688713599, -4.2188780673092845, -5.762628427565831, -3.940519799389295, -5.0291208422552485, -4.975353866691702]",2,noise
40,19-01-2005,http://www.marketwatch.com/story/philly-gold-and-silver-index-falls-05-to-end-at-9353-2005-01-19,philly gold and silver index falls 0.5% to end at 93.53,0,0,1,1,1,0,negative,14,1,"[-7.12442465076408, -7.6644380758912565, -5.49967198014624, -6.831310701819586, -7.542607146879623, -5.588949296520014, -7.648952502113971, -7.498772442065496, -7.439836812935443, -6.852867281431345, -7.508172456256014, -6.0228309066835255, -8.0456448305681, -7.665154880273828, -8.315454124218308, -6.922582122833664, -7.572130419803094, -7.89380688836267]",2,Gold Price Support Levels
41,19-10-2016,http://www.marketwatch.com/story/dec-gold-settles-at-126990oz-up-7-or-06-2016-10-19,"Dec. gold settles at $1,269.90/oz, up $7, or 0.6%",1,0,0,0,1,0,positive,22,12,"[-27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",2,Global Cues and Gold Stability
42,21-03-2018,http://www.investing.com/news/commodities-news/gold-prices-hold-onto-gains-ahead-of-fomc-statement-1352279,Gold Prices Hold onto Gains Ahead of FOMC Statement,0,1,0,0,1,0,neutral,3,3,"[-3.7734601719320175, -4.78582728083591, -2.637781567120896, -3.2858972174130154, -4.0358074968577835, -1.8572863632139716, -4.23741336353172, -3.4390346483881475, -4.91994938176979, -3.4376084456540017, -3.1859010843188718, -2.2150423521088918, -5.462794185540719, -4.296453622325339, -5.5934150836592735, -2.145593583819878, -4.495434227567432, -4.666322524553022]",5,Global Investment & Rate Impact
43,10-08-2017,http://www.marketwatch.com/story/december-gold-trades-08-higher-at-1289oz-2017-08-10,"December gold trades 0.8% higher at $1,289/oz.",1,0,0,0,1,0,positive,31,8,"[-27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",2,Early Gold Trading Activity
44,21-05-2018,https://www.metalsdaily.com/link/279813/gold-bulls-push-for-the-exits-on-strong-dollar-and-lack-of-fear.htm,gold bulls push for the exits on strong dollar and lack of fear,0,0,1,1,1,0,negative,-1,-1,"[-4.2919987852782455, -5.432538139459139, -3.1103470549495187, -3.412222411142884, -3.8463487763454536, -2.664472298730279, -4.286329649762661, -3.4813696010756168, -5.595450404756381, -3.6124690135626474, -4.225087508344795, -1.8833476145591024, -6.196707477836553, -4.897552948931266, -6.5249181751535055, -3.5037176089394566, -4.7245454444531285, -5.219315206465514]",11,noise
45,14-04-2010,http://www.marketwatch.com/story/gold-ends-05-higher-at-115960-an-ounce-2010-04-14,"gold ends 0.5% higher, at $1,159.60 an ounce",1,0,0,0,1,0,positive,21,3,"[-27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",2,Global Investment & Rate Impact
46,26-03-2015,"http://www.investing.com/news/commodities-news/gold-futures-soar-above-$1,200,-amid-escalating-conflict-in-yemen-334368","gold futures soar above $1,200, amid escalating conflict in yemen",1,0,0,0,1,0,positive,-1,-1,"[-3.821603257440149, -5.419756519817461, -3.0581185247937577, -4.1591329013105165, -4.717715649407102, -3.057613840393568, -4.845798661984544, -4.559151267103905, -5.49975852945572, -4.063583638706557, -4.69105878963437, -2.98195553854671, -6.181087574457297, -4.889224410590604, -6.451737720387357, -4.08719701889155, -4.84929845382098, -4.693162775792638]",11,noise
47,23-05-2013,http://www.marketwatch.com/story/gold-falls-after-fed-talk-boosts-dollar-2013-05-22,gold settles at its highest level in a week,1,0,0,0,1,0,positive,8,3,"[-3.9946740381410595, -4.477109232880535, -2.2088774030665554, -3.6525933201821448, -4.429367494324915, -2.5665810562443245, -4.6781980459906505, -4.486187373218359, -4.727955243078091, -3.8838994450975677, -2.7288396098029644, -2.729829720895594, -5.682015949154066, -2.8871097500320664, -5.821158111096079, -3.5024836595111704, -4.860843301422125, -4.975305065632309]",2,Global Investment & Rate Impact
48,18-08-2017,https://economictimes.indiatimes.com/markets/commodities/news/gold-steady-buoyed-by-geopolitical-worries/articleshow/60112652.cms,"gold prices rise for a third day, buoyed by geopolitical worries",1,0,0,0,1,0,positive,-1,-1,"[-3.9428726629754993, -4.876669256545827, -2.6936962132587996, -3.3264830113285893, -3.7918753474937605, -2.2785804545955237, -4.195904472134795, -3.6982689072884765, -5.131130844780507, -3.443994617993855, -3.2470419633587686, -2.2790993156242947, -5.869017325228296, -4.185568219153239, -6.1172724735158335, -3.154086105946645, -4.552557380716203, -4.912660502462441]",5,noise
