,Dates,URL,News,Price Direction Up,Price Direction Constant,Price Direction Down,Asset Comparision,Past Information,Future Information,Price Sentiment,Topic,Macro_Group,Probabilities,Dominant_Macro_Group,Macro_Group_Label
18,04-09-2018,https://www.metalsdaily.com/link/282776/state-street-gold-likely-to-climb-back-to-$1-350-an-ounce-by-the-end-of-2018.htm,"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",1,0,0,0,1,0,positive,34,11,"[-27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",6,Fluctuations in Gold Prices
19,09-12-2016,http://www.investing.com/news/commodities-news/gold-prices-slip-lower-as-dollar-remains-supported-446716,gold prices slip lower as dollar remains supported,0,0,1,1,1,0,negative,11,19,"[1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",0,Gold Price Inversely Tracks Dollar.
20,03-02-2017,https://www.moneycontrol.com/news/business/stocks/gold-to-trade28670-29160-range-achiievers-equities-948756.html,gold to trade in 28670-29160 range: achiievers equities,0,1,0,0,0,1,neutral,-1,-1,"[-6.005965841076676, -6.692575881144945, -6.002953449102271, -6.443252764386402, -6.528199335574875, -6.864990162187362, -6.059842084098379, -6.781165056914809, -7.513490996340209, -7.346532103462894, -7.444597871647666, -5.798526727053022, -7.881958517472701, -7.3491797594909585, -6.800601562378657, -7.3433235663001835, -7.755445980030633, -6.736758516342271, -8.326976560220812, -8.449465554460854]",11,"Gold Market: Trends, Fluctuations, and Outlook"
21,19-06-2015,https://www.thehindubusinessline.com/markets/gold/gold-holds-firm-near-1200-on-dovish-fed/article7332525.ece,"Gold holds firm near $1,200 on dovish Fed",0,1,0,0,1,0,neutral,3,7,"[-1.7446606850878743, -3.769891457692883, -2.9943655935603197, -2.411343217729932, -3.8240814449251177, -3.784092583163187, -3.372088969797373, -4.419128643549775, -4.419771241376574, -4.052566456287881, -4.176216854408801, -2.472710667328958, -5.416327470084828, -4.525442676577688, -2.955690680862671, -3.7452791040448705, -5.297495954415802, -3.0654412676422385, -5.893957765490681, -5.580185354115416]",0,**Gold Price Fluctuations & Fed Influence**
22,25-09-2017,http://www.marketwatch.com/story/gold-prices-finish-at-a-more-than-one-week-high-2017-09-25,Gold prices finish at a more than one-week high,1,0,0,0,1,0,positive,-1,-1,"[-3.747508316208829, -4.7521619112118945, -4.011556222977517, -3.527994202680981, -4.793368997567324, -2.018974501349298, -3.99891127134078, -5.396803837414224, -3.6174376313466996, -5.067663563378427, -4.714609092536126, -1.7838176129455272, -6.303979470084502, -5.550418636244969, -3.504315996573381, -4.963858972736901, -6.186614495603845, -4.370176911038768, -6.531057433739241, -6.3666268671208055]",11,"Gold Market: Trends, Fluctuations, and Outlook"
23,28-02-2018,https://www.metalsdaily.com/link/277185/india-is-gold-a-good-investment-in-a-volatile-market.htm,india : is gold a good investment in a volatile market?,0,0,0,0,0,1,none,15,7,"[-27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",1,**Gold Price Fluctuations & Fed Influence**
24,13-12-2012,http://www.marketwatch.com/story/gold-futures-down-over-20oz-ahead-of-settlement-2012-12-13,gold futures down over $20/oz ahead of settlement,0,0,1,0,1,0,negative,27,2,"[-2.7663487215130957, -4.120705628240348, -2.862907044234817, -3.362907389782098, -3.370051321163554, -4.042614093236057, -3.317401508149854, -4.37968754052208, -4.467078898257215, -3.524527788163831, -2.682518972716972, -2.940319814501395, -5.472200057714443, -4.801818211231596, -3.1538028995812746, -4.064195347448359, -5.763385134580527, -1.2063045996053714, -6.1023729124876915, -5.787989013607868]",17,Gold Price Fluctuations and Influences
25,30-01-2017,http://www.marketwatch.com/story/gold-holds-modest-gains-up-310-or-03-at-119150oz-after-data-2017-01-30,"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",1,0,0,0,1,0,positive,14,4,"[1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",0,Gold Price Fluctuations and Data
26,15-03-2006,http://www.marketwatch.com/story/april-gold-up-140-to-end-the-day-at-55440oz-in-ny-2006-03-15,april gold up $1.40 to end the day at $554.40/oz in ny,1,0,0,0,1,0,positive,-1,-1,"[-8.30690072249037, -9.017753839345227, -8.371874126354246, -8.640829079454292, -8.620976901522235, -9.054551337906213, -7.96518404047871, -8.938702538727924, -9.793722135521717, -9.608630531375912, -9.666855336157942, -7.9701458296011465, -10.010841024068615, -9.63243648786252, -9.029369923966165, -9.698358052388992, -10.333511640706151, -8.949405869900646, -10.267672933361226, -10.029935395033712]",6,"Gold Market: Trends, Fluctuations, and Outlook"
27,01-11-2011,https://www.moneycontrol.com/news/business/stocks/-1946461.html,"Gold, Silver may trade lower today: Angel Commodities",0,0,1,1,1,0,negative,-1,-1,"[-2.914971141727756, -3.351035958011469, -2.6323986351577826, -3.5976713346329956, -4.064669405732367, -3.8205293213095506, -3.518103493806949, -4.428216871087377, -4.682596062473583, -4.136573676138225, -4.603888065379894, -2.8632036649050625, -5.753388740213365, -3.894459997823061, -3.9046798636394513, -4.36501264545421, -5.658702221644211, -3.6754064059347415, -6.108457843308525, -6.090810019332001]",2,"Gold Market: Trends, Fluctuations, and Outlook"
28,26-10-2017,http://www.marketwatch.com/story/kaz-minerals-lifts-copper-gold-guidance-2017-10-26,"KAZ Minerals lifts copper, gold guidance",1,0,0,1,1,0,positive,18,3,"[-2.5412447466702193, -3.615558813955522, -2.6484460996901458, -3.4790152716534437, -3.9790789223166545, -3.9348067604522896, -3.4861498308015952, -4.569983373079837, -4.555707302740783, -2.670827614942345, -4.1935648640623295, -2.8814432446317464, -5.780418627927227, -4.307019629052053, -3.5702210048441785, -4.107802766595839, -5.804630903091334, -3.334270677558873, -6.2191303009671675, -6.037030379737427]",0,Fluctuations and Trends in Gold Prices
29,28-02-2017,http://www.marketwatch.com/story/gold-little-changed-after-data-2017-02-28,Gold little-changed after data,0,1,0,0,1,0,neutral,14,4,"[1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",0,Gold Price Fluctuations and Data
30,27-11-2017,https://www.metalsdaily.com/link/274264/germany-why-gold-market-in-germany-is-thriving.htm,germany : why gold market in germany is thriving,1,0,0,0,1,0,positive,1,5,"[-2.3554259531986803, -3.412417725745597, -2.979422937678942, -3.4408317215336615, -4.2058263536439835, -3.808427819541213, -3.696036277054861, -4.6976496414613695, -4.8103724381537685, -4.196881154409886, -4.676891246907713, -2.9713839385999994, -5.85895543216276, -4.151492653966138, -3.7645131233150093, -4.290553045910332, -5.639804462808704, -0.8371590293645155, -6.256934165730896, -6.0515898329759565]",17,Gold Price Fluctuations and Market Factors
31,19-06-2009,http://www.marketwatch.com/story/august-gold-ends-up-160-or-02-at-93620,"august gold ends up $1.60, or 0.2%, at $936.20",1,0,0,0,1,0,positive,32,18,"[-27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",11,Fluctuations in Gold Prices & Futures
32,14-04-2010,http://www.marketwatch.com/story/gold-futures-at-highest-since-early-december-2010-04-14,gold futures at highest since early december,1,0,0,0,1,0,positive,40,15,"[-27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",5,Gold Price Fluctuations in News
33,22-12-2004,http://www.marketwatch.com/story/gold-futures-close-narrowly-lower-2004-12-22,gold futures close narrowly lower,0,0,1,0,1,0,negative,20,12,"[-27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",10,Gold Market Price Fluctuations and News
34,23-11-2018,https://www.moneycontrol.com/news/business/commodities/gold-edges-up-ahead-of-g20-meeting-set-to-post-second-weekly-gain-3212401.html,Gold edges up ahead of G20 meeting; set to post second weekly gain,1,0,0,0,1,0,positive,6,3,"[-3.2207648019845183, -4.180878987952971, -3.3370160299701506, -3.2879237768262706, -4.160861115160625, -3.384859233713189, -3.3148329506931713, -4.698927394531541, -2.567097038324007, -4.523068159376709, -4.250995316728519, -0.9067299606921855, -5.694563080757409, -4.965419207871635, -3.2662615505594497, -4.187384163049491, -5.52830707974197, -3.878430719432874, -5.822141333899021, -5.823052898596981]",11,Fluctuations and Trends in Gold Prices
35,03-12-2004,http://www.marketwatch.com/story/feb-gold-falls-10c-to-45220oz-in-morning-ny-trade-2004-12-03,feb gold falls 10c to $452.20/oz in morning ny trade,0,0,1,0,1,0,negative,-1,-1,"[-2.7078204771353973, -3.315765982764532, -2.7980895806940933, -3.0070361708625413, -3.166664843802636, -3.4121973165316515, -2.5516151361550574, -3.5272666528552916, -4.137143246508083, -3.8847976161100286, -3.9309703154116855, -2.4086250381027354, -4.242850614844325, -3.906020953046994, -3.345256569573291, -4.153213171182518, -4.665301899018785, -3.2945001199279678, -4.91509808614622, -4.735071964338468]",11,"Gold Market: Trends, Fluctuations, and Outlook"
36,30-05-2000,http://www.marketwatch.com/story/gold-little-changed-copper-sinks,gold little changed; copper sinks,0,1,0,1,1,0,neutral,-1,-1,"[-2.896732074756908, -3.505151130115505, -2.7228753979188305, -3.131100746449355, -4.102702720175246, -3.569014540858017, -3.3498571821927645, -4.559487163954522, -4.0253145340298735, -4.177937432265603, -4.358224785088656, -0.8729837047683904, -5.789350822901185, -4.287021362540976, -3.3979439811920935, -4.1101418231498705, -5.5040025787900975, -3.5867886842964567, -5.839766944750896, -5.925132260574682]",11,"Gold Market: Trends, Fluctuations, and Outlook"
37,07-01-2013,https://www.moneycontrol.com/news/business/markets/-1701983.html,gold swings between gains and drops on stronger dollar,1,0,1,1,1,0,positive,11,19,"[1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",0,Gold Price Inversely Tracks Dollar.
38,20-06-2018,https://www.metalsdaily.com/link/280600/charts-gold-gld-etf-update-breakdown-.htm,charts : gold gld etf update - breakdown ?,0,0,0,0,0,1,none,0,5,"[-27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",2,Gold Price Fluctuations and Market Factors
39,19-12-2011,http://www.marketwatch.com/story/feb-gold-down-120-to-close-at-159670oz-2011-12-19,"feb. gold down $1.20 to close at $1,596.70/oz",0,0,1,0,1,0,negative,-1,-1,"[-6.242272976540214, -7.00763381028261, -6.276550447432465, -6.341841282751723, -6.681123058762023, -6.857040174952951, -5.724001703682271, -7.098464712566354, -7.352341084893349, -7.4411639005921515, -7.346248046899926, -5.764067006468892, -8.01826763119766, -7.663507652017064, -6.688936090097673, -7.536924578405924, -8.25292723450056, -6.839721780083887, -7.9120748315430385, -7.835276452224231]",6,"Gold Market: Trends, Fluctuations, and Outlook"
40,19-01-2005,http://www.marketwatch.com/story/philly-gold-and-silver-index-falls-05-to-end-at-9353-2005-01-19,philly gold and silver index falls 0.5% to end at 93.53,0,0,1,1,1,0,negative,-1,-1,"[-9.266137484630447, -10.038894806518053, -9.414640217233604, -9.475095712172518, -9.751463530532064, -9.913107578322801, -9.089026430320894, -10.328086580491894, -10.553518571063563, -10.652810861043335, -10.60306791230351, -8.922395133996547, -11.052145435093848, -10.74397844750597, -9.849334720227528, -10.71647229906637, -10.988089061717362, -9.93063120613746, -11.243729071036885, -10.510432926325247]",11,"Gold Market: Trends, Fluctuations, and Outlook"
41,19-10-2016,http://www.marketwatch.com/story/dec-gold-settles-at-126990oz-up-7-or-06-2016-10-19,"Dec. gold settles at $1,269.90/oz, up $7, or 0.6%",1,0,0,0,1,0,positive,21,3,"[-27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",6,Fluctuations and Trends in Gold Prices
42,21-03-2018,http://www.investing.com/news/commodities-news/gold-prices-hold-onto-gains-ahead-of-fomc-statement-1352279,Gold Prices Hold onto Gains Ahead of FOMC Statement,0,1,0,0,1,0,neutral,3,7,"[-1.8405339742341844, -3.90472459540489, -3.13691951008478, -2.371438213625292, -3.9444367026452656, -3.923986584037916, -3.5041494810322793, -4.544994179274166, -4.556541914536473, -4.189669732272773, -4.305101433908692, -2.5883134144972666, -5.529530328105407, -4.6632837710253074, -3.1367645794958157, -3.8601639610164438, -5.41644672009316, -3.2119755874592886, -6.023447385163655, -5.708846078930842]",0,**Gold Price Fluctuations & Fed Influence**
43,10-08-2017,http://www.marketwatch.com/story/december-gold-trades-08-higher-at-1289oz-2017-08-10,"December gold trades 0.8% higher at $1,289/oz.",1,0,0,0,1,0,positive,7,17,"[-3.8540464818263693, -4.081445886202912, -3.651406943261373, -3.929647003558412, -4.713149728636736, -4.455697145443465, -3.93673589911514, -5.005794603353569, -5.3930335046345, -5.003234256812084, -5.425304803707676, -3.2642337369297736, -6.300167756673089, -4.590675226649595, -4.610864012628574, -5.2989463241057555, -6.157364076114278, -4.514157804098943, -6.48706847473989, -6.491553620318668]",11,**Gold Price Fluctuations and Trends**
